GUID_A;GUID_B;Label_Type;;;Lese Datei ein ./Analysemodelle/21_22 L_TWP_Tragwerksmodell 0D Ausr Anschluss.xlsx... 
2yLI$bp2n6tOR$yBmR5iTh;3X7$pZ_e99fhYGXKMCln7S;Total;;;
0AWeagGxn4K8SQhuSKHnA$;27HhqnJu9B0vRyQqfPdiu$;Total;;;Gefundene einzigartige IFC-Bauteile: 79 
05ICfHt0b6jQGuYoY158kj;0swePq8nLCnBPnmdwS2I4J;Total;;;Generierte Total_Labels (Alle möglichen Kanten): 3081 
3lBnM_5azBh9$8ISQy6OFQ;3zNK4ljcH0xeJ0C6VAJdTa;Total;;;Generierte GT_Labels: 340 
0PNJtCD$5F6hK376rO4h89;1d6xcPEtPAzvc4tfKRn0gC;Total;;;Generierte Rule_Labels: 320 
1AWCSdNsHB4wb9F_j8aGQm;2kiyiQ2lvENBFDb4gK8tQf;Total;;;
0Zps7UP6v15v_OX_A9sUCL;37Hi8j$3b5cwoX$KEiBpUC;Total;;;>>> ERFOLG: GNN-Labels wurden in 'gnn_labels.csv' und 'gnn_labels.json' gespeichert. <<<
1AWCSdNsHB4wb9F_j8aGQm;2yLI$bp2n6tOR$yBmR5iTh;Total;;;
0AWeagGxn4K8SQhuSKHnA$;0yrUlYlaD5iQH5qtvZru5c;Total;;;=== AUSWERTUNG DER KONVERTER-REGELN (Metriken) ===
1d6xcPEtPAzvc4tfKRn0gC;39$D4p3RvDeBum6XvJnHqf;Total;;;True Positives (TP):  320    (Richtig erkannt)
0Z1wBDxbH6xeayFutzfara;13Ov1SoL12y91pIvszNN_U;Total;;;True Negatives (TN):  2741   (Richtig ignoriert)
0ZRnr2akj4$Rx4oWTxfcJt;0swePq8nLCnBPnmdwS2I4J;Total;;;False Positives (FP): 0      (Zu viel verbunden)
0Zps7UP6v15v_OX_A9sUCL;1jCdPvHrD8c8FBvx8tV5Td;Total;;;False Negatives (FN): 20     (Vergessen)
0WJI2Y7_53_AFuVQRhjK7k;1XbqrhNIz4jQKQmvfxrbMP;Total;;;--------------------------------------------------
1cTAfCfsr7NPSOP5xgRVBm;2rYjDpq0H5GAJH2GD9zejy;Total;;;Accuracy:  0.9935 (99.35 %)
16GSwL2a1FPPVw1Djul6P4;27HhqnJu9B0vRyQqfPdiu$;Total;;;Precision: 1.0000 (100.00 %)
